date,tvl,price
2021-11-20,15617645505.0,273.97
2021-11-21,16242753135.0,266.54
2021-11-22,16101030171.0,263.6
2021-11-23,15495515224.0,269.7
2021-11-24,16022732678.0,254.4
2021-11-25,15657508044.0,262.7
2021-11-26,16125713720.0,232.85
2021-11-27,14315328841.0,233.12
2021-11-28,14433522235.0,238.9
2021-11-29,14999862380.0,249.7
2021-11-30,15409729196.0,256.6
2021-12-01,15754109745.0,250.77
2021-12-02,15685525256.0,244.8
2021-12-03,15387654435.0,225.9
2021-12-04,14609759785.0,202.71
2021-12-05,13925985292.0,191.42
2021-12-06,14011839852.0,184.57
2021-12-07,14520018016.0,186.91
2021-12-08,14531413734.0,203.3
2021-12-09,14861838339.0,176.56
2021-12-10,14100384954.0,166.62
2021-12-11,13416890256.0,180.77
2021-12-12,13929196966.0,179.93
2021-12-13,14293166371.0,162.26
2021-12-14,13210333077.0,169.5
2021-12-15,13395632358.0,172.9
2021-12-16,13878939672.0,173.9
2021-12-17,13834589553.0,187.26
2021-12-18,13880477382.0,193.14
2021-12-19,14224094350.0,183.4
2021-12-20,14103768119.0,181.18
2021-12-21,14265067910.0,186.02
2021-12-22,14534213211.0,206.4
2021-12-23,14558847156.0,246.84
2021-12-24,15249182611.0,270.0
2021-12-25,14932850332.0,263.8
2021-12-26,15138185457.0,268.12
2021-12-27,15414625853.0,277.3
2021-12-28,15281820109.0,252.51
2021-12-29,14514415137.0,235.9
2021-12-30,14035724036.0,262.8
2021-12-31,14186366770.0,253.8
2022-01-01,14209309256.0,266.65
2022-01-02,14411210283.0,265.3
2022-01-03,14571768041.0,267.06
2022-01-04,14447179576.0,252.33
2022-01-05,14345420885.0,230.24
2022-01-06,13765285182.0,220.85
2022-01-07,13519691999.0,211.7
2022-01-08,13004969962.0,212.3
2022-01-09,12746184616.0,209.41
2022-01-10,12850162875.0,200.0
2022-01-11,12661035838.0,213.1
2022-01-12,13252473017.0,218.28
2022-01-13,13593318757.0,209.33
2022-01-14,13128281333.0,223.92
2022-01-15,13192443462.0,238.64
2022-01-16,13224628612.0,242.69
2022-01-17,13239397888.0,226.58
2022-01-18,12811002023.0,232.63
2022-01-19,13211840072.0,210.02
2022-01-20,13078286197.0,198.53
2022-01-21,12687513935.0,171.09
2022-01-22,11755569882.0,147.21
2022-01-23,10837673864.0,158.78
2022-01-24,11414222149.0,152.52
2022-01-25,11068956298.0,151.84
2022-01-26,11194808295.0,146.15
2022-01-27,11447732089.0,144.66
2022-01-28,10874441071.0,148.89
2022-01-29,11509014457.0,153.99
2022-01-30,11717289749.0,149.18
2022-01-31,11814159917.0,157.66
2022-02-01,11812926680.0,164.1
2022-02-02,12099552631.0,151.38
2022-02-03,11710458860.0,152.77
2022-02-04,11701092758.0,166.56
2022-02-05,12472784639.0,166.21
2022-02-06,12812507848.0,173.25
2022-02-07,13023826452.0,181.59
2022-02-08,13504044519.0,183.99
2022-02-09,13684605987.0,188.03
2022-02-10,14051284600.0,175.26
2022-02-11,13737902407.0,163.56
2022-02-12,13399383786.0,162.36
2022-02-13,13382013815.0,158.05
2022-02-14,13289253306.0,160.95
2022-02-15,13253283945.0,172.37
2022-02-16,13756890266.0,170.34
2022-02-17,13557138693.0,153.02
2022-02-18,12729866598.0,145.52
2022-02-19,12456804190.0,146.26
2022-02-20,12409706303.0,137.02
2022-02-21,12018942458.0,128.51
2022-02-22,11575272932.0,134.6
2022-02-23,11756057898.0,130.26
2022-02-24,11569686451.0,125.28
2022-02-25,11679579823.0,139.44
2022-02-26,12007452604.0,136.22
2022-02-27,11996291767.0,131.5
2022-02-28,11515781799.0,145.71
2022-03-01,12328112782.0,143.23
2022-03-02,12539624709.0,137.66
2022-03-03,12346921528.0,129.93
2022-03-04,12088462004.0,124.24
2022-03-05,11514411512.0,124.57
2022-03-06,11657609421.0,116.73
2022-03-07,11421083432.0,116.92
2022-03-08,11494165502.0,121.72
2022-03-09,11534877403.0,127.18
2022-03-10,12069177474.0,119.19
2022-03-11,11655115000.0,116.64
2022-03-12,11299912510.0,120.31
2022-03-13,11360415817.0,115.52
2022-03-14,11126309403.0,118.45
2022-03-15,11379506785.0,121.92
2022-03-16,11540763507.0,141.48
2022-03-17,12095110843.0,155.46
2022-03-18,12283644178.0,160.04
2022-03-19,12677416117.0,157.17
2022-03-20,12938930711.0,152.68
2022-03-21,12728157523.0,153.88
2022-03-22,12769885683.0,152.85
2022-03-23,12915896339.0,156.01
2022-03-24,13009385660.0,168.04
2022-03-25,13146720696.0,162.5
2022-03-26,12901528681.0,163.31
2022-03-27,13013623379.0,169.16
2022-03-28,13503614511.0,167.65
2022-03-29,13659766884.0,222.7
2022-03-30,14049620593.0,223.34
2022-03-31,14041005209.0,207.3
2022-04-01,13716861799.0,244.62
2022-04-02,14232444052.0,238.11
2022-04-03,14145374928.0,243.01
2022-04-04,14417000493.0,237.84
2022-04-05,14348708822.0,221.1
2022-04-06,14307603042.0,191.34
2022-04-07,13480231788.0,202.44
2022-04-08,13782792685.0,183.45
2022-04-09,13443700438.0,184.64
2022-04-10,13672892398.0,176.24
2022-04-11,13570686008.0,157.63
2022-04-12,12840643658.0,164.26
2022-04-13,13130819481.0,178.18
2022-04-14,13580285692.0,171.93
2022-04-15,13210665601.0,175.97
2022-04-16,13337175278.0,172.34
2022-04-17,13433615123.0,166.87
2022-04-18,13218876257.0,169.09
2022-04-19,13491165846.0,182.93
2022-04-20,13659556990.0,186.24
2022-04-21,13872667981.0,173.69
2022-04-22,13407859172.0,177.03
2022-04-23,13272254148.0,173.38
2022-04-24,13104700457.0,166.38
2022-04-25,13241355725.0,168.74
2022-04-26,13484359601.0,158.04
2022-04-27,12775598749.0,168.48
2022-04-28,13052304967.0,166.1
2022-04-29,12963820416.0,157.25
2022-04-30,12621629163.0,142.4
2022-05-01,12322574962.0,146.21
2022-05-02,12775359184.0,144.18
2022-05-03,12913095285.0,141.06
2022-05-04,12750503976.0,159.37
2022-05-05,13258505364.0,141.37
2022-05-06,12651528321.0,138.36
2022-05-07,12640991702.0,132.29
2022-05-08,12449450178.0,125.93
2022-05-09,12020365761.0,99.46
2022-05-10,10935576950.0,105.21
2022-05-11,11005436205.0,82.64
2022-05-12,9981502466.0,77.08
2022-05-13,9108210920.0,82.36
2022-05-14,9273765557.0,86.69
2022-05-15,9532084908.0,92.11
2022-05-16,9865383003.0,83.79
2022-05-17,9257667778.0,92.66
2022-05-18,9717132292.0,81.82
2022-05-19,9110800319.0,91.7
2022-05-20,9472882040.0,89.97
2022-05-21,9072154212.0,91.52
2022-05-22,9090022730.0,94.13
2022-05-23,9686388500.0,99.2
2022-05-24,9709201211.0,107.23
2022-05-25,9811346275.0,101.63
2022-05-26,9687022266.0,101.13
2022-05-27,9296691048.0,92.41
2022-05-28,9208984290.0,95.42
2022-05-29,9494162920.0,95.46
2022-05-30,9439831427.0,117.45
2022-05-31,10033633205.0,112.83
2022-06-01,9993645943.0,106.17
2022-06-02,9445937615.0,111.05
2022-06-03,9598092879.0,106.95
2022-06-04,9559025244.0,106.8
2022-06-05,9693578007.0,103.6
2022-06-06,9727071830.0,106.1
2022-06-07,9897103006.0,99.27
2022-06-08,9865908335.0,96.43
2022-06-09,9696085234.0,95.88
2022-06-10,9587358825.0,88.09
2022-06-11,9231116709.0,77.16
2022-06-12,8887355190.0,70.41
2022-06-13,8421508629.0,59.95
2022-06-14,6424273628.0,62.14
2022-06-15,6297412817.0,66.63
2022-06-16,6277191875.0,56.63
2022-06-17,5517061651.0,57.4
2022-06-18,5610608423.0,49.64
2022-06-19,5210148182.0,54.15
2022-06-20,5617458678.0,61.58
2022-06-21,5658027715.0,66.36
